# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
    222   1.392103e+01   1.216855e-01   1.647429e+00   0.000000e+00   0.000000e+00
    223   1.396791e+01   1.224691e-01   1.642196e+00   0.000000e+00   0.000000e+00
    224   1.401478e+01   1.232553e-01   1.636997e+00   0.000000e+00   0.000000e+00
    225   1.406166e+01   1.240440e-01   1.631833e+00   0.000000e+00   0.000000e+00
    226   1.410853e+01   1.248352e-01   1.626701e+00   0.000000e+00   0.000000e+00
    227   1.415541e+01   1.256290e-01   1.621604e+00   0.000000e+00   0.000000e+00
    228   1.420228e+01   1.264253e-01   1.616539e+00   0.000000e+00   0.000000e+00
    229   1.424916e+01   1.272242e-01   1.611507e+00   0.000000e+00   0.000000e+00
    230   1.429603e+01   1.280256e-01   1.606508e+00   0.000000e+00   0.000000e+00
    231   1.434291e+01   1.288296e-01   1.601541e+00   0.000000e+00   0.000000e+00
    232   1.438978e+01   1.296361e-01   1.596605e+00   0.000000e+00   0.000000e+00
    233   1.443666e+01   1.304451e-01   1.591702e+00   0.000000e+00   0.000000e+00
    234   1.448353e+01   1.312567e-01   1.586830e+00   0.000000e+00   0.000000e+00
    235   1.453041e+01   1.320708e-01   1.581988e+00   0.000000e+00   0.000000e+00
    236   1.457728e+01   1.328875e-01   1.577178e+00   0.000000e+00   0.000000e+00
    237   1.462416e+01   1.337068e-01   1.572398e+00   0.000000e+00   0.000000e+00
    238   1.467103e+01   1.345285e-01   1.567648e+00   0.000000e+00   0.000000e+00
    239   1.471791e+01   1.353529e-01   1.562928e+00   0.000000e+00   0.000000e+00
    240   1.476478e+01   1.361797e-01   1.558238e+00   0.000000e+00   0.000000e+00
    241   1.481166e+01   1.370092e-01   1.553578e+00   0.000000e+00   0.000000e+00
    242   1.485853e+01   1.378412e-01   1.548946e+00   0.000000e+00   0.000000e+00
    243   1.490541e+01   1.386757e-01   1.544344e+00   0.000000e+00   0.000000e+00
    244   1.495228e+01   1.395128e-01   1.539770e+00   0.000000e+00   0.000000e+00
    245   1.499916e+01   1.403524e-01   1.535224e+00   0.000000e+00   0.000000e+00
    246   1.504603e+01   1.411946e-01   1.530707e+00   0.000000e+00   0.000000e+00
    247   1.509291e+01   1.420394e-01   1.526218e+00   0.000000e+00   0.000000e+00
    248   1.513978e+01   1.428867e-01   1.521756e+00   0.000000e+00   0.000000e+00
    249   1.518666e+01   1.437366e-01   1.517322e+00   0.000000e+00   0.000000e+00
    250   1.523353e+01   1.445890e-01   1.512916e+00   0.000000e+00   0.000000e+00
    251   1.528041e+01   1.454440e-01   1.508536e+00   0.000000e+00   0.000000e+00
    252   1.532728e+01   1.463016e-01   1.504183e+00   0.000000e+00   0.000000e+00
    253   1.537416e+01   1.471617e-01   1.499856e+00   0.000000e+00   0.000000e+00
    254   1.542103e+01   1.480244e-01   1.495556e+00   0.000000e+00   0.000000e+00
    255   1.546791e+01   1.488897e-01   1.491282e+00   0.000000e+00   0.000000e+00
    256   1.551478e+01   1.497575e-01   1.487034e+00   0.000000e+00   0.000000e+00
    257   1.556166e+01   1.506279e-01   1.482812e+00   0.000000e+00   0.000000e+00
    258   1.560853e+01   1.515008e-01   1.478615e+00   0.000000e+00   0.000000e+00
